로또,051-728-0018,부산 기장군 정관읍 매학리 713-3번지 진우빌딩108호,정상
씨스페이스 구포점,051-331-7224,부산 북구 구포동 1261-32,정상
씨스페이스(만덕본점),051-332-0666,부산 북구 만덕동 830-12번지,정상
씨스페이스(신만덕점),051-337-2690,부산 북구 만덕동 920-13번지,정상
씨스페이스(다대제일점),051-266-8356,부산 사하구 다대동 820-12번지,정상
씨스페이스(수영스마일점),051-265-2288,부산 수영구 망미동 800-1 씨스페이스,정상
씨스페이스(부대제일점),010-9809-5054,부산 금정구 장전동 416-5,정상
씨스페이스(범어사역점),051-512-4820,부산 금정구 남산동 21-4번지,정상
씨스페이스(기찰점),051-581-4264,부산 금정구 부곡동 227-1번지,정상
씨스페이스(영도대평점),051-412-4490,부산 영도구 대교동1가 84-3 대교동 사거리,정상
씨스페이스(중앙제일점),051-255-6942,부산 중구 동광동3가 17-2번지,정상
GS25(두실점),051-513-3511,부산 금정구 구서동 184-38,정상
GS25(노포2호점),051-508-0495,부산 금정구 노포동 133번지 터미널내1층4호GS25종합터미널2호점,정상
GS25(노포1호점),051-508-0293,부산 금정구 노포동 133,정상
GS25(부대정문점),051-512-7333,부산 금정구 장전동 400-60번지,정상
GS25(청룡점),051-508-2422,부산 금정구 청룡동 633-21번지,정상
GS25(대연중앙점),051-626-6554,부산 남구 대연동 1729-5번지,정상
GS25(경성중앙점),051-627-1750,부산 남구 대연동 72-7번지,정상
GS25(동래명륜점),051-554-8727,부산 동래구 명륜동 637-5번지,정상
GS25(부산미남점),051-507-6251,부산 동래구 온천동 1421-36번지,정상
GS25(명륜중앙점),051-556-8391,부산 동래구 온천동 473-12번지,정상
GS25(서면새싹점),051-804-1814,부산 부산진구 부전동 264-17,정상
GS25(양정역점),051-865-2544,부산 부산진구 양정동 369-20번지,정상
GS25(서면롯데점),051-804-5311,부산 부산진구 부전동 485-40,정상
GS25(화명코아점),051-335-2996,부산 북구 화명동 2266-3,정상
GS25(괘법중앙점),051-326-2260,부산 사상구 괘법동 546-5번지,정상
GS25(괘법덕포점),051-317-7027,부산 사상구 괘법동 270-6,정상
GS25(사하중앙점),051-294-9125,부산 사하구 감천동 648-6,정상
GS25(대신문화점),051-243-8346,부산 서구 동대신동3가 173 문화아파트110호111호,정상
GS25(수영광안점),051-757-1270,부산 수영구 광안동 75-1번지,정상
GS25(광안목화점),051-747-8195,부산 수영구 민락동 177-5번지,정상
GS25(남항점),051-412-8023,부산 영도구 남항동1가 63번지,정상
GS25(광복점),051-247-0951,부산 중구 동광동2가 7-2번지,정상
GS25(광복센타점),000-0000-0000,부산 중구 남포동5가 2-1번지,정상
GS25(신창점),051-246-9329,부산 중구 신창동1가 6-1,정상
GS25(재송점),051-782-0091,부산 해운대구 재송동 1100-10번지,정상
GS25(해운우동점),051-746-9457,부산 해운대구 우동 598-9,정상
CU(다대사랑점),051-262-2027,부산 사하구 다대동 35,정상
CU(초읍대공원점),051-817-9829,부산 부산진구 초읍동 171-2번지 목화빌딩,정상
CU(남천점),051-624-4570,부산 수영구 남천동 296-4번지,정상
CU(좌동중앙점),051-702-5573,부산 해운대구 좌동 1461-4번지 더샵센텀파크2차),정상
GS25(서면제일점),051-818-2478,부산 부산진구 부전동 220-1,정상
GS25(부경대점),051-622-7445,부산 남구 대연동 519-1번지,정상
GS25(서면일번가점),051-818-1151,부산 부산진구 부전동 232-39번지,정상
GS25(다대포점),051-265-9280,부산 사하구 다대동 1548-35번지,정상
씨스페이스(범천골드점),051-515-6001,부산 부산진구 범천동 846-9번지,정상
CU(서면점),051-816-8200,부산 부산진구 부전동 474-78,정상
씨유 동대신역점,051-244-3917,부산 서구 서대신동1가 52-16,정상
씨스페이스(부전점),051-816-9805,"부산 부산진구 부전동 127 1층동 1층(부전동, 성도빌딩)",정상
CU(대연２호점),051-621-4456,부산 남구 대연동 61-2번지,정상
CU(양정번영로점),051-867-0182,부산 부산진구 양정동 389-27번지,정상
GS25(민락중앙점),051-759-4835,부산 수영구 민락동 181-82,정상
GS25(동래금강점),051-558-4495,부산 동래구 온천동 94-19번지,정상
씨스페이스(재송제일점),051-784-0420,부산 해운대구 재송동 1079-21번지,정상
씨스페이스(영도동삼점),051-980-9990,부산 영도구 동삼동 510-33 1층 101호,정상
GS25(구포역점),051-332-1008,부산 북구 구포동 1060-84번지,정상
GS25(괘법점),051-311-3219,부산 사상구 괘법동 820-2,정상
씨스페이스(송도바다점),051-254-0610,부산 서구 암남동 359-1번지,정상
CU(센텀파크점),051-703-8007,부산 해운대구 재송동 1197,정상
참좋은마트(복권방),051-947-2237,부산 영도구 영선동1가 78-1번지,정상
로또나라,051-363-8952,부산 북구 화명동 1528-5번지 화명빌딩101호,정상
복권나라,051-333-1567,부산 북구 구포동 657,정상
구포라인점,051-336-3224,부산 북구 구포동 700-148번지,정상
로또복권,051-321-0172,부산 사상구 학장동 585-38번지 하프타임편의점,정상
동원무지개로또,051-301-3323,부산 사상구 덕포동 789번지 남영상가3-1호 해피타임편의점,정상
성금로또,051-305-6318,부산 사상구 덕포동 777-1번지,정상
행복복권방,051-311-8281,부산 사상구 엄궁동 40-94,정상
복권방,051-302-8042,부산 사상구 덕포동 404-13번지 ing25편의점,정상
로또천하,051-623-4055,부산 수영구 남천동 19-30 (남천동),정상
바이더웨이,051-611-6357,부산 수영구 남천동 7-8번지 세븐일레븐내,정상
에이스상사,051-852-6960,부산 연제구 거제동 587-3번지 핸드폰가게,정상
로또판매점,051-861-0434,부산 연제구 연산동 724-8번지 세븐일레븐편의점 내,정상
바이드,051-862-7391,부산 연제구 연산동 710-1번지 세븐일레븐연산점 내,정상
로또하는날,051-866-6649,부산 연제구 연산동 731-7,정상
행복이가득한집,051-900-7041,부산 영도구 동삼동 360-7번지 복권판매점,정상
나나복권,051-418-3306,부산 영도구 청학동 231-6번지 복권판매점,정상
바이더웨이편의점,051-247-2145,부산 중구 남포동5가 11-4번지 세븐일레븐편의점,정상
빅세일마트,051-463-4432,부산 중구 중앙동4가 81-19번지,정상
로또사랑,051-731-6009,부산 해운대구 우동 564-11번지 애니타임편의점내,정상
로또복권,051-724-4009,부산 기장군 기장읍 대라리 129-1 기장아름공원점내,정상
해피타임25,051-832-0635,부산 강서구 송정동 1715-6번지 툴마트제1동119호,정상
영희복권,051-324-9202,부산 사상구 괘법동 526-51번지 CU사상서부점 내,정상
꿈꾸는 복권,051-612-6806,부산 사상구 엄궁동 645-3번지 CU엄궁농산물시장점 내,정상
로또복권,051-242-8842,부산 서구 아미동1가 21-3번지 편의점내,정상
예스마트,051-623-0880,부산 수영구 남천동 18-16번지,정상
리치복권방,070-4221-9733,부산 수영구 민락동 113-21번지 B동101호 쉼표,정상
나우리,051-867-1849,부산 연제구 연산동 794-1 GS25편의점 내,정상
세리종합화장품,051-255-3119,부산 중구 남포동6가 1번지 지하 코오롱쇼핑상가 가-6호,정상
백금당,051-246-9202,부산 중구 부평동1가 37-5,정상
대박유통,051-246-1034,부산 중구 남포동5가 41-1번지 세븐일레븐편의점,정상
로또달맞이점,051-744-7276,부산 해운대구 중동 1477-2번지 보현빌라101호,정상
녹산로또,051-832-2272,부산 강서구 송정동 1631-6번지 녹산공구상가101호,정상
로또판매점(바이더웨이),051-583-8302,부산 금정구 구서동 415-2번지 세븐일레븐내,정상
우리동네좋은가게,051-721-3443,부산 기장군 기장읍 대변리 420-9번지,정상
마마,051-464-9020,부산 동구 초량동 1205-20번지 CU편의점,정상
로또복권판매점,051-896-7417,부산 부산진구 개금동 615-17번지 모드니25개금점 내,정상
수억복권방,051-362-6238,부산 북구 화명동 1170-12,정상
